Region,"C05-Age as of Last Birthday","C07-Highest Grade Completed","C11 - Location of Work (Province, Municipality)","C15-Major Industry Group","New Employment Criteria (jul 05, 2005)"
09,61,24015,"    ","  ",3
09,19,60001,"    ","  ",3
09,39,24012,8316,47,1
09,20,24013,"    ","  ",3
09,19,24012,"    ","  ",3
09,07,02000,"    ","  "," "
09,64,24012,"    ","  ",3
09,60,00000,"    ","  ",3
09,25,24012,8316,49,1
09,22,10018,8316,56,1
09,05,01000,"    ","  "," "
09,47,10018,8316,16,1
09,41,10018,8316,47,1
09,14,24012,"    ","  "," "
09,40,60003,8316,84,1
09,43,60612,8316,84,1
09,16,24013,"    ","  ",3
09,26,10018,8316,49,1
09,27,24012,"    ","  ",3
09,05,01000,"    ","  "," "
09,01,"     ","    ","  "," "
09,10,10012,"    ","  "," "
09,09,01000,"    ","  "," "
09,07,00000,"    ","  "," "
09,33,24015,"    ","  ",3
09,13,10015,"    ","  "," "
09,12,10014,"    ","  "," "
09,09,10013,"    ","  "," "
09,09,10013,"    ","  "," "
09,06,02000,"    ","  "," "
09,37,50714,8316,84,1
09,36,24015,8316,84,1
09,11,10015,"    ","  "," "
09,07,01000,"    ","  "," "
09,02,"     ","    ","  "," "
09,57,24013,8316,41,1
09,58,24015,8316,96,1
09,23,60003,8316,84,1
09,18,34011,"    ","  ",3
09,30,24015,"    ","  "," "
09,03,"     ","    ","  "," "
09,65,10013,8305,01,1
09,36,10018,8316,80,1
09,32,24015,"    ","  ",3
09,05,00000,"    ","  "," "
09,63,10014,8316,01,1
09,36,10018,8316,41,1
09,66,10013,8316,41,1
09,63,10018,"    ","  ",3
09,69,10013,8316,01,1
09,69,10018,"    ","  ",3
09,41,60002,8316,01,1
09,40,10015,"    ","  ",3
09,10,10013,"    ","  "," "
09,01,"     ","    ","  "," "
09,42,24012,8305,01,1
09,40,24015,"    ","  ",3
09,12,10018,"    ","  "," "
09,40,10014,8316,01,1
09,36,10013,"    ","  ",3
09,07,10011,"    ","  "," "
09,05,00000,"    ","  "," "
09,02,"     ","    ","  "," "
09,68,10018,8316,01,1
09,49,10018,8316,01,1
09,12,10014,"    ","  "," "
09,11,10013,"    ","  "," "
09,09,02000,"    ","  "," "
09,04,"     ","    ","  "," "
09,13,10015,"    ","  "," "
09,73,10011,8316,01,1
09,73,00000,"    ","  ",3
09,36,10015,8316,01,1
09,35,10018,8305,47,1
09,08,10011,"    ","  "," "
09,07,02000,"    ","  "," "
09,40,10018,7332,01,1
09,48,10018,7332,01,1
09,44,10018,7332,47,1
09,19,24015,"    ","  ",3
09,18,24015,"    ","  ",3
09,21,24015,7332,41,1
09,18,24012,"    ","  ",3
09,63,24011,7332,01,1
09,60,10018,"    ","  ",3
09,26,60002,7332,47,1
09,45,10018,7332,01,1
09,46,10018,7332,84,1
09,19,60001,"    ","  ",3
09,15,24012,"    ","  ",3
09,12,10015,"    ","  "," "
09,50,10018,7332,01,1
09,46,10018,"    ","  ",3
09,24,60002,"    ","  ",3
09,30,24015,7332,43,1
09,27,60612,"    ","  ",3
09,05,01000,"    ","  "," "
09,03,"     ","    ","  "," "
09,47,24012,7332,01,1
09,43,10018,7332,10,1
09,19,34013,"    ","  ",3
09,17,24013,"    ","  ",3
09,32,24011,7332,41,1
09,32,24012,"    ","  ",3
09,13,10015,"    ","  "," "
09,04,"     ","    ","  "," "
09,02,"     ","    ","  "," "
09,64,10018,"    ","  ",3
09,27,24015,7332,47,1
09,39,10018,7332,43,1
09,39,10018,"    ","  ",3
09,13,10014,"    ","  "," "
09,12,10013,"    ","  "," "
09,11,10013,"    ","  "," "
09,05,00000,"    ","  "," "
09,04,"     ","    ","  "," "
09,02,"     ","    ","  "," "
09,70,10018,7332,01,1
09,37,24015,7332,41,1
09,31,60111,7332,85,1
09,03,"     ","    ","  "," "
09,49,24015,7332,47,1
09,61,10018,7332,01,1
09,55,10018,7332,56,1
09,18,34011,"    ","  ",3
09,30,24015,7332,41,1
09,67,10018,7332,43,1
09,61,10018,7332,84,1
09,85,10018,"    ","  ",3
09,62,10018,7332,41,1
09,61,10018,"    ","  ",3
09,28,24015,7332,41,1
09,23,24015,"    ","  ",3
09,04,"     ","    ","  "," "
09,73,10018,7332,01,1
09,72,10018,"    ","  ",3
09,42,60001,7332,01,1
09,62,10018,7332,01,1
09,27,24015,7332,41,1
09,28,24015,7332,96,1
09,04,"     ","    ","  "," "
09,03,"     ","    ","  "," "
09,34,60003,7332,01,1
09,32,24015,"    ","  ",3
09,10,10014,"    ","  "," "
09,05,02000,"    ","  "," "
09,46,00000,7332,41,1
09,42,10018,7332,56,1
09,24,10018,7332,41,1
09,19,24013,7332,41,1
09,15,10018,"    ","  ",3
09,11,10012,"    ","  "," "
09,08,10011,"    ","  "," "
09,04,"     ","    ","  "," "
09,58,24015,7332,49,1
09,62,24015,7332,47,1
09,33,24015,7332,49,1
09,40,60002,7332,49,1
09,45,10013,7332,56,1
09,19,60001,"    ","  ",3
09,10,10014,"    ","  "," "
09,08,10012,"    ","  "," "
09,06,02000,"    ","  "," "
09,46,24015,7332,11,1
09,44,60003,7332,47,1
09,19,34013,"    ","  ",3
09,02,"     ","    ","  "," "
09,62,60001,7332,84,1
09,58,24015,"    ","  ",3
09,29,24013,7332,96,1
09,13,24011,"    ","  "," "
09,11,10015,"    ","  "," "
09,02,"     ","    ","  "," "
09,45,60001,7332,41,1
09,45,60001,"    ","  ",3
09,18,34011,"    ","  ",3
09,16,24015,"    ","  ",3
09,61,60314,"    ","  ",3
09,55,60913,7332,86,1
09,25,60731,7332,71,1
09,71,24013,7332,56,1
09,34,24011,7332,56,1
09,11,10015,"    ","  "," "
09,66,60415,7332,47,1
09,44,60915,7332,84,1
09,44,60916,7332,47,1
09,16,24013,"    ","  ",3
09,07,02000,"    ","  "," "
09,60,24015,"    ","  ",3
09,49,60111,7332,85,1
09,24,60003,"    ","  ",3
09,18,34011,"    ","  ",3
09,50,60002,7332,56,1
09,49,24015,7332,56,1
09,28,60003,7332,56,1
09,18,34013,"    ","  ",3
09,16,24015,"    ","  ",3
09,14,24012,"    ","  "," "
09,43,10018,7332,47,1
09,16,24011,"    ","  ",3
09,75,10014,7332,56,1
09,51,10014,"    ","  ",3
09,34,24015,7332,49,1
09,75,24013,7332,43,1
09,72,24013,"    ","  ",3
09,40,60111,7332,85,1
09,58,10018,7332,47,1
09,57,10018,7332,47,1
09,32,60003,7332,49,1
09,21,60003,"    ","  ",3
09,08,10012,"    ","  "," "
09,68,10018,"    ","  ",3
09,52,10018,7332,56,1
09,26,60612,7332,47,1
09,21,34013,7332,47,1
09,21,60002,"    ","  ",3
09,57,10015,7332,43,1
09,56,10018,7332,47,1
09,71,10015,"    ","  ",3
09,28,24015,7332,49,1
09,40,24015,"    ","  ",3
09,06,01000,"    ","  "," "
09,43,60001,7332,43,1
09,38,24015,7332,47,1
09,13,10018,"    ","  "," "
09,10,10013,"    ","  "," "
09,40,24015,7332,41,1
09,41,24015,7332,47,1
09,11,10015,"    ","  "," "
09,06,10011,"    ","  "," "
09,64,10018,7332,86,1
09,62,10018,"    ","  ",3
09,43,60002,7332,41,1
09,11,10014,"    ","  "," "
09,09,10011,"    ","  "," "
09,06,02000,"    ","  "," "
09,44,60001,7332,41,1
09,40,24015,"    ","  ",3
09,00,"     ","    ","  "," "
09,55,24015,7332,49,1
09,54,60002,7332,47,1
09,22,60002,"    ","  ",3
09,38,60002,7332,47,1
09,40,60002,7332,79,1
09,07,02000,"    ","  "," "
09,51,24015,7332,47,1
09,48,24015,7332,47,1
09,23,60001,"    ","  ",3
09,47,60003,7332,43,1
09,42,60003,7332,96,1
09,21,60001,"    ","  ",3
09,19,34013,"    ","  ",3
09,17,24015,"    ","  ",3
09,13,10018,"    ","  "," "
09,11,10014,"    ","  "," "
09,69,10015,7332,56,1
09,70,10014,7332,43,1
09,24,60001,"    ","  ",3
09,30,10013,7332,41,1
09,36,24015,"    ","  ",3
09,11,10015,"    ","  "," "
09,60,10013,"    ","  ",3
09,51,10012,"    ","  ",3
09,25,60002,7332,47,1
09,23,60001,"    ","  ",3
09,21,24015,"    ","  ",3
09,72,10011,"    ","  ",3
09,30,10012,"    ","  ",3
09,11,10014,"    ","  "," "
09,08,10011,"    ","  "," "
09,25,24012,7332,41,1
09,24,60001,"    ","  ",3
09,26,24015,7332,47,1
09,28,10014,"    ","  ",3
09,03,"     ","    ","  "," "
09,00,"     ","    ","  "," "
09,76,10018,"    ","  ",3
09,66,24012,"    ","  ",3
09,33,60002,7332,84,1
09,65,24015,7332,47,1
09,52,10018,7332,03,1
09,48,24015,7332,03,1
09,40,10013,7332,03,1
09,37,24011,7332,10,1
09,37,24015,7332,49,1
09,35,24015,"    ","  ",3
09,14,10014,"    ","  "," "
09,13,10012,"    ","  "," "
09,11,10011,"    ","  "," "
09,05,00000,"    ","  "," "
09,03,"     ","    ","  "," "
09,35,24013,"    ","  ",3
09,30,24012,7332,10,1
09,24,24015,"    ","  ",3
09,03,"     ","    ","  "," "
09,00,"     ","    ","  "," "
09,49,24015,"    ","  ",3
09,30,60001,7332,47,1
09,29,24015,7332,49,1
09,38,24013,7332,49,1
09,41,24013,"    ","  ",3
09,14,24012,"    ","  "," "
09,12,10018,"    ","  "," "
09,09,10013,"    ","  "," "
09,05,02000,"    ","  "," "
09,01,"     ","    ","  "," "
09,59,10014,7332,56,1
09,57,60001,7332,41,1
09,21,34013,7332,10,1
09,43,24015,7332,03,1
09,44,24015,"    ","  ",3
09,13,10015,"    ","  "," "
09,12,10015,"    ","  "," "
09,04,"     ","    ","  "," "
09,00,"     ","    ","  "," "
09,30,60732,"    ","  ",2
09,28,60916,7332,86,1
09,41,10015,7332,03,1
09,38,10015,"    ","  ",3
09,15,24012,"    ","  ",3
09,12,10013,"    ","  "," "
09,06,02000,"    ","  "," "
09,02,"     ","    ","  "," "
09,58,24004,7332,47,1
09,53,10015,"    ","  ",3
09,21,60001,"    ","  ",3
09,20,34013,"    ","  ",3
09,16,24015,"    ","  ",3
09,51,24015,7332,41,1
09,50,24012,"    ","  ",3
09,27,60003,"    ","  ",3
09,19,60002,"    ","  ",3
09,16,24013,"    ","  ",3
09,13,10018,"    ","  "," "
09,10,10014,"    ","  "," "
09,20,10018,7332,49,1
09,21,60001,"    ","  ",3
09,01,"     ","    ","  "," "
09,00,"     ","    ","  "," "
09,37,60002,7332,84,1
09,36,24015,"    ","  ",3
09,29,24013,7332,41,1
09,28,24015,"    ","  ",3
09,08,02000,"    ","  "," "
09,06,02000,"    ","  "," "
09,04,"     ","    ","  "," "
09,01,"     ","    ","  "," "
09,27,10018,7332,08,1
09,51,10012,7332,41,1
09,62,10015,"    ","  ",3
09,12,10018,"    ","  "," "
09,57,10014,7332,01,1
09,56,10018,"    ","  ",3
09,13,24011,"    ","  "," "
09,57,10018,7332,01,1
09,57,10018,7332,47,1
09,33,60111,7332,47,1
09,31,24015,7332,47,1
09,33,24015,7332,10,1
09,34,60001,"    ","  ",3
09,06,02000,"    ","  "," "
09,02,"     ","    ","  "," "
09,49,10018,7332,08,1
09,44,24012,"    ","  ",3
09,17,34013,"    ","  ",3
09,14,24013,"    ","  "," "
09,07,10011,"    ","  "," "
09,26,10015,7332,41,1
09,24,24012,"    ","  ",3
09,05,00000,"    ","  "," "
09,02,"     ","    ","  "," "
09,00,"     ","    ","  "," "
09,46,24015,"    ","  ",3
09,54,60413,7332,41,1
09,06,02000,"    ","  "," "
09,85,24015,"    ","  ",3
09,22,60114,"    ","  ",2
09,45,60413,7332,47,1
09,18,34013,"    ","  ",3
09,30,10018,7332,41,1
09,34,10018,7332,41,1
09,35,10015,"    ","  ",3
09,13,10018,"    ","  "," "
09,12,10015,"    ","  "," "
09,06,02000,"    ","  "," "
09,05,00000,"    ","  "," "
09,51,10018,7332,01,1
09,52,10018,"    ","  ",3
09,32,24015,7332,11,1
09,29,24015,7332,11,1
09,21,24013,"    ","  ",3
09,04,"     ","    ","  "," "
09,28,24012,7332,01,1
09,30,24015,7332,47,1
09,38,24015,7332,47,1
09,30,24011,7332,47,1
09,10,10014,"    ","  "," "
09,06,02000,"    ","  "," "
09,45,24015,7332,01,1
09,45,24015,"    ","  ",3
09,59,10018,7332,84,1
09,44,24012,7332,47,1
09,31,61013,"    ","  ",3
09,52,24015,7332,01,1
09,48,24015,"    ","  ",3
09,54,10018,"    ","  ",3
09,59,10018,"    ","  ",3
09,27,60001,7332,46,1
09,22,34011,7332,96,1
09,17,24015,"    ","  ",3
09,36,60002,7332,96,1
09,33,24015,7332,46,1
09,07,10011,"    ","  "," "
09,16,24013,"    ","  ",3
09,38,24013,7332,11,1
09,38,24013,"    ","  ",3
09,18,24013,"    ","  ",3
09,05,00000,"    ","  "," "
09,00,"     ","    ","  "," "
09,66,10014,"    ","  ",3
09,61,10018,7332,96,1
09,36,24015,7332,96,1
09,31,24015,"    ","  ",3
09,32,24012,7332,41,1
09,30,24012,7332,47,1
09,11,10012,"    ","  "," "
09,08,10012,"    ","  "," "
09,46,50716,7332,11,1
09,44,60002,"    ","  ",3
09,24,60001,"    ","  ",3
09,23,34011,"    ","  ",3
09,21,60001,"    ","  ",3
09,16,24013,"    ","  ",3
09,15,24012,"    ","  ",3
09,45,24015,7332,51,1
09,36,24012,"    ","  ",3
09,07,10011,"    ","  "," "
09,06,02000,"    ","  "," "
09,05,00000,"    ","  "," "
09,14,10015,"    ","  "," "
09,12,10012,"    ","  "," "
09,28,10018,7332,47,1
09,40,10018,7332,41,1
09,38,10018,7332,96,1
09,18,34011,"    ","  ",3
09,16,24015,"    ","  ",3
09,13,10014,"    ","  "," "
09,03,"     ","    ","  "," "
09,60,10018,7332,41,1
09,39,24013,7332,96,1
09,04,"     ","    ","  "," "
09,39,24013,7332,41,1
09,42,24013,7332,41,1
09,38,24011,7332,96,1
09,07,10011,"    ","  "," "
09,72,60002,"    ","  ",3
09,59,24015,"    ","  ",3
09,30,60001,7332,47,1
09,07,10011,"    ","  "," "
09,05,00000,"    ","  "," "
09,29,24015,7332,47,1
09,07,10011,"    ","  "," "
09,61,10013,"    ","  ",3
09,74,00000,"    ","  ",3
09,42,60400,7332,47,1
09,35,24015,7332,47,1
09,23,60003,7332,47,1
09,22,60913,"    ","  ",3
09,21,60913,"    ","  ",3
09,07,10011,"    ","  "," "
09,68,10012,7332,96,1
09,47,10018,7332,41,1
09,60,10018,"    ","  ",3
09,21,24011,"    ","  ",3
09,20,34011,"    ","  ",3
09,30,24012,7332,85,1
09,28,24012,"    ","  ",3
09,12,24011,"    ","  "," "
09,11,10015,"    ","  "," "
09,08,10011,"    ","  "," "
09,06,02000,"    ","  "," "
09,33,50613,7332,41,1
09,29,24015,"    ","  ",3
09,09,10013,"    ","  "," "
09,05,00000,"    ","  "," "
09,04,"     ","    ","  "," "
09,02,"     ","    ","  "," "
09,30,10015,7332,49,1
09,29,24012,"    ","  ",3
09,11,10014,"    ","  "," "
09,27,60002,7332,47,1
09,05,00000,"    ","  "," "
09,02,"     ","    ","  "," "
09,69,24013,"    ","  ",3
09,49,24012,7332,08,1
09,65,10018,7332,43,1
09,30,10018,7332,41,1
09,34,24015,7332,84,1
09,10,10014,"    ","  "," "
09,08,10012,"    ","  "," "
09,07,10011,"    ","  "," "
09,80,10018,"    ","  ",3
09,50,60003,7332,84,1
09,43,60415,"    ","  ",3
09,12,10015,"    ","  "," "
09,42,60314,7332,41,1
09,39,50912,7332,56,1
09,19,60001,"    ","  ",3
09,18,34013,"    ","  ",3
09,14,10018,"    ","  "," "
09,03,"     ","    ","  "," "
09,52,24015,7332,41,1
09,53,24012,"    ","  ",3
09,30,24012,7332,10,1
09,81,00000,"    ","  ",3
09,23,24012,7332,56,1
09,24,60111,7332,85,1
09,01,"     ","    ","  "," "
09,25,60002,7332,47,1
09,21,34013,7332,47,1
09,05,00000,"    ","  "," "
09,00,"     ","    ","  "," "
09,50,00000,"    ","  ",3
09,60,10013,7332,41,1
09,20,35013,"    ","  ",3
09,16,24012,"    ","  ",3
09,30,24015,7332,56,1
09,28,60001,7332,47,1
09,27,60800,"    ","  ",3
09,34,10018,7332,10,1
09,33,00000,"    ","  ",3
09,10,10014,"    ","  "," "
09,09,10013,"    ","  "," "
09,08,10011,"    ","  "," "
09,24,34011,7332,49,1
09,25,60001,"    ","  ",3
09,00,"     ","    ","  "," "
09,29,24011,7332,49,1
09,28,24012,"    ","  ",3
09,05,00000,"    ","  "," "
09,04,"     ","    ","  "," "
09,10,10012,"    ","  "," "
09,62,10018,"    ","  ",3
09,59,00000,7332,47,1
09,50,60001,7332,84,1
09,55,60913,7332,47,1
09,25,60001,7332,84,1
09,18,60001,"    ","  ",3
09,16,24013,"    ","  ",3
09,13,24011,"    ","  "," "
09,12,10015,"    ","  "," "
09,55,60715,7332,49,1
09,42,60001,"    ","  ",3
09,21,60002,"    ","  ",3
09,18,34013,"    ","  ",3
09,14,24011,"    ","  "," "
09,11,10015,"    ","  "," "
09,07,10011,"    ","  "," "
09,51,60419,9701,56,1
09,39,60415,9701,56,1
09,10,10014,"    ","  "," "
09,19,35013,"    ","  ",3
09,17,34011,"    ","  ",3
09,15,24013,"    ","  ",3
09,52,60001,9701,49,1
09,52,60111,9701,85,1
09,25,60003,"    ","  ",3
09,22,60003,"    ","  ",3
09,70,60111,"    ","  ",3
09,50,61041,9701,50,1
09,51,60913,9701,86,1
09,18,35013,"    ","  ",3
09,13,10018,"    ","  "," "
09,81,10018,"    ","  ",3
09,79,10018,9701,96,1
09,72,10018,"    ","  ",3
09,31,24015,9701,47,1
09,72,24011,"    ","  ",3
09,56,60714,9701,46,1
09,45,60688,9701,86,1
09,11,10015,"    ","  "," "
09,07,02000,"    ","  "," "
09,58,50417,9701,33,1
09,53,24013,9701,96,1
09,22,60003,"    ","  ",3
09,16,24013,"    ","  ",3
09,13,10018,"    ","  "," "
09,12,10015,"    ","  "," "
09,40,50723,9701,47,1
09,40,60111,0702,85,1
09,04,"     ","    ","  "," "
09,01,"     ","    ","  "," "
09,56,60111,"    ","  ",3
09,29,60113,9701,85,1
09,26,60488,9701,86,1
09,20,35013,"    ","  ",3
09,52,60003,9701,47,1
09,32,60001,"    ","  ",3
09,29,35013,"    ","  ",3
09,49,60715,9701,84,1
09,48,60415,"    ","  ",3
09,21,60003,"    ","  ",3
09,18,34021,"    ","  ",3
09,09,10012,"    ","  "," "
09,81,10018,9701,47,1
09,12,10018,"    ","  "," "
09,52,10015,9701,01,1
09,54,10018,"    ","  ",3
09,25,60314,"    ","  ",2
09,28,60002,9701,47,1
09,05,01000,"    ","  "," "
09,02,"     ","    ","  "," "
09,22,60003,"    ","  ",3
09,20,34013,"    ","  ",3
09,54,10018,9701,01,1
09,54,10018,"    ","  ",3
09,27,60831,9701,84,1
09,25,60612,"    ","  "," "
09,18,34013,"    ","  ",3
09,33,24015,9701,01,1
09,33,60415,"    ","  "," "
09,13,24011,"    ","  "," "
09,00,"     ","    ","  "," "
09,73,10014,9701,47,1
09,62,10018,"    ","  ",3
09,63,24015,9701,47,1
09,59,24012,"    ","  ",3
09,37,10018,9701,01,1
09,48,24013,"    ","  ",3
09,08,10012,"    ","  "," "
09,05,01000,"    ","  "," "
09,21,00000,"    ","  ",3
09,58,24015,"    ","  ",3
09,35,60399,9701,64,1
09,25,60111,9701,92,1
09,81,10018,9701,01,1
09,76,10015,"    ","  ",3
09,41,60002,9701,01,1
09,45,60001,"    ","  ",3
09,12,10018,"    ","  "," "
09,05,01000,"    ","  "," "
09,34,24015,9701,01,1
09,29,60002,"    ","  ",3
09,00,"     ","    ","  "," "
09,44,24015,9701,16,1
09,20,24012,9701,16,1
09,50,60488,9701,86,1
09,52,60488,9701,86,1
09,53,60913,9701,86,1
09,80,60913,"    ","  ",3
09,25,50612,9701,35,1
09,31,61013,"    ","  "," "
09,09,10012,"    ","  "," "
09,05,01000,"    ","  "," "
09,02,"     ","    ","  "," "
09,62,51032,"    ","  ",3
09,27,60111,9701,84,1
09,13,10018,"    ","  "," "
09,09,10011,"    ","  "," "
09,09,10011,"    ","  "," "
09,31,10018,9701,84,1
09,23,10018,"    ","  ",3
09,06,01000,"    ","  "," "
09,04,"     ","    ","  "," "
09,01,"     ","    ","  "," "
09,14,24011,"    ","  "," "
09,39,60719,9701,47,1
09,53,60719,9701,47,1
09,53,10013,9701,41,1
09,49,60411,9701,84,1
09,22,60312,"    ","  ",2
09,18,34011,"    ","  ",3
09,52,60311,9701,47,1
09,53,24015,9701,47,1
09,18,24015,"    ","  ",3
09,16,24013,"    ","  ",3
09,30,24011,9701,47,1
09,30,60612,9701,47,1
09,03,"     ","    ","  "," "
09,73,10018,"    ","  ",3
09,52,10015,9701,84,1
09,29,10018,9701,41,1
09,64,60002,9701,68,1
09,63,60111,"    ","  ",3
09,42,60312,"    ","  "," "
09,71,10018,9701,14,1
09,51,80111,9701,85,1
09,23,60003,"    ","  ",3
09,22,60003,"    ","  ",3
10,36,60001,1305,01,1
10,30,10018,1305,01,1
10,14,24013,"    ","  "," "
10,45,24015,1305,01,1
10,37,24015,1305,47,1
10,12,10018,"    ","  "," "
10,08,10012,"    ","  "," "
10,49,60003,1321,41,1
10,23,60001,1312,47,1
10,21,34013,"    ","  ",3
10,18,34013,"    ","  ",3
10,47,24015,1305,47,1
10,49,60413,1305,84,1
10,21,60003,"    ","  ",3
10,19,60001,"    ","  ",3
10,13,24011,"    ","  "," "
10,59,60111,1305,84,1
10,27,60612,1305,61,1
10,35,60112,1305,84,1
10,35,60112,1305,85,1
10,03,"     ","    ","  "," "
10,34,60888,"    ","  "," "
10,62,10012,1305,41,1
10,49,24013,"    ","  ",3
10,13,10018,"    ","  "," "
10,14,24011,"    ","  "," "
10,20,00000,"    ","  ",3
10,72,60112,"    ","  ",3
10,90,60111,"    ","  ",3
10,45,60111,1305,85,1
10,43,60112,1305,85,1
10,15,24013,"    ","  ",3
10,43,60714,1305,84,1
10,35,60003,1305,47,1
10,15,24011,"    ","  ",3
10,14,10015,"    ","  "," "
10,07,02000,"    ","  "," "
10,01,"     ","    ","  "," "
10,44,24015,1305,01,1
10,36,24015,1305,01,1
10,12,10015,"    ","  "," "
10,10,10014,"    ","  "," "
10,25,10018,1305,01,1
10,53,60001,1305,80,1
10,47,24015,1305,82,1
10,23,34011,1305,01,1
10,20,60003,"    ","  ",3
10,19,34011,"    ","  ",3
10,24,24015,1305,82,1
10,24,60811,1305,52,1
10,42,60003,1305,84,1
10,39,60411,1305,84,1
10,43,10014,1314,01,1
10,39,10018,1314,01,1
10,19,24012,1314,41,1
10,12,10015,"    ","  "," "
10,56,10018,1314,84,1
10,38,10018,"    ","  ",3
10,22,10014,"    ","  ",3
10,23,10014,1314,01,1
10,22,10014,"    ","  ",3
10,04,"     ","    ","  "," "
10,39,10012,1314,01,1
10,69,00000,"    ","  ",3
10,66,10014,1314,01,1
10,62,24015,1314,01,1
10,35,10013,1314,01,1
10,36,24012,1314,01,1
10,34,24012,1314,01,1
10,13,24011,"    ","  "," "
10,12,10015,"    ","  "," "
10,03,"     ","    ","  "," "
10,29,10018,1314,01,1
10,27,10018,"    ","  ",3
10,08,10012,"    ","  "," "
10,65,10013,1314,01,1
10,42,10011,1314,01,1
10,09,10011,"    ","  "," "
10,07,02000,"    ","  "," "
10,22,24015,1312,47,1
10,19,10015,1314,41,1
10,16,00000,"    ","  ",3
10,14,10015,1314,01," "
10,12,10011,1314,01," "
10,69,10014,1314,01,1
10,69,10014,1314,01,1
10,22,10015,1314,01,1
10,60,10018,"    ","  ",3
10,46,24015,1314,96,1
10,10,10013,"    ","  "," "
10,07,01000,"    ","  "," "
10,36,10013,1314,96,1
10,30,10015,"    ","  ",3
10,10,10013,"    ","  "," "
10,03,"     ","    ","  "," "
10,36,24015,1314,01,1
10,13,10018,"    ","  "," "
10,11,10014,"    ","  "," "
10,08,10011,"    ","  "," "
10,50,24012,1314,01,1
10,46,24012,1314,96,1
10,22,60003,"    ","  ",3
10,12,10018,"    ","  "," "
10,10,10013,"    ","  "," "
10,51,10013,1314,01,1
10,48,10014,1314,01,1
10,17,24015,1314,01,1
10,70,60003,"    ","  ",3
10,31,60413,1314,64,1
10,43,24015,1314,41,1
10,35,24012,"    ","  ",3
10,16,24012,"    ","  ",3
10,08,10012,"    ","  "," "
10,20,60003,"    ","  ",3
10,65,60715,"    ","  ",3
10,41,60003,1314,01,1
10,40,60111,1314,85,1
10,20,60002,"    ","  ",3
10,16,24015,"    ","  ",3
10,39,60413,1314,94,1
10,58,10018,1314,84,1
10,57,24015,"    ","  ",3
10,29,60001,1314,41,1
10,20,60002,1314,01,1
10,16,24013,1314,96,1
10,32,60111,"    ","  ",3
10,10,10014,"    ","  "," "
10,00,"     ","    ","  "," "
10,04,"     ","    ","  "," "
10,50,24015,1314,55,1
10,42,24011,1314,47,1
10,22,60001,"    ","  ",3
10,18,34011,1314,47,1
10,64,60221,"    ","  ",3
10,58,60413,1305,84,1
10,82,24015,"    ","  ",3
10,77,24015,"    ","  ",3
10,24,60612,1314,64,1
10,24,60413,1314,56,1
10,28,60002,1314,80,1
10,27,60003,"    ","  ",3
10,08,10012,"    ","  "," "
10,05,02000,"    ","  "," "
10,04,"     ","    ","  "," "
10,74,10018,1314,01,1
10,40,60111,1314,85,1
10,43,24015,"    ","  "," "
10,43,60002,"    ","  ",3
10,17,24015,"    ","  ",3
10,09,10013,"    ","  "," "
10,07,02000,"    ","  "," "
10,51,50413,"    ","  ",3
10,25,34013,"    ","  ",2
10,80,60112,"    ","  ",3
10,47,60112,"    ","  "," "
10,54,24015,1314,56,1
10,22,34013,1314,47,1
10,21,60001,"    ","  ",3
10,20,60001,"    ","  ",3
10,18,24015,"    ","  ",3
10,17,24013,1314,96,1
10,07,02000,"    ","  "," "
10,10,10013,"    ","  "," "
10,32,24015,1314,49,1
10,28,24015,"    ","  ",3
10,10,10013,"    ","  "," "
10,06,01000,"    ","  "," "
10,28,10013,1314,41,1
10,27,24015,"    ","  ",3
10,06,10011,"    ","  "," "
10,03,"     ","    ","  "," "
10,68,60003,1314,84,1
10,41,60912,1314,86,1
10,35,60811,1314,10,1
10,34,61013,1314,10,1
10,10,10014,"    ","  "," "
10,07,02000,"    ","  "," "
10,13,10006,"    ","  "," "
10,62,24015,1314,84,1
10,60,24012,"    ","  ",3
10,30,60112,1314,85,1
10,14,24012,"    ","  "," "
10,14,24011,"    ","  "," "
10,11,00000,"    ","  "," "
10,42,24015,1314,52,1
10,70,24015,"    ","  ",2
10,58,24015,"    ","  ",3
10,60,50413,"    ","  ",3
10,22,60003,"    ","  ",3
10,78,10014,"    ","  ",3
10,38,60413,1314,64,1
10,34,60003,1314,47,1
10,12,10018,"    ","  "," "
10,07,10011,"    ","  "," "
10,05,00000,"    ","  "," "
10,14,24011,"    ","  "," "
10,43,60612,"    ","  ",3
10,13,10018,"    ","  "," "
10,11,10014,"    ","  "," "
10,41,24015,1314,49,1
10,38,60112,1314,47,1
10,14,24011,"    ","  "," "
10,68,10013,"    ","  ",3
10,08,10011,"    ","  "," "
10,06,02000,"    ","  "," "
10,32,10018,1315,01,1
10,34,10018,"    ","  ",3
10,09,10011,"    ","  "," "
10,04,"     ","    ","  "," "
10,01,"     ","    ","  "," "
10,34,24015,1315,56,1
10,41,24015,1315,41,1
10,13,10018,"    ","  "," "
10,09,10012,"    ","  "," "
10,71,24013,"    ","  ",3
10,74,10014,"    ","  ",3
10,34,60410,1315,47,1
10,31,24015,"    ","  ",3
10,87,60002,"    ","  ",3
10,53,24015,1315,41,1
10,17,24011,"    ","  ",3
10,27,60001,1315,41,1
10,25,24015,"    ","  ",3
10,07,10011,"    ","  "," "
10,48,10011,1315,01,1
10,29,10012,1315,01,1
10,10,00000,"    ","  "," "
